Account,Campaign,Ad group,Keyword,Criterion Type,Max CPC,Status,Final URL
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,[autoankauf nürnberg],Keyword,8.00,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Schweinfurt,[autoankauf schweinfurt],Keyword,6.50,Enabled,https://frankenautoankauf24.de/autoankauf/schweinfurt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Schweinfurt,"autoankauf schweinfurt",Keyword,6.50,Enabled,https://frankenautoankauf24.de/autoankauf/schweinfurt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Schweinfurt,[auto verkaufen schweinfurt],Keyword,6.50,Enabled,https://frankenautoankauf24.de/autoankauf/schweinfurt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Schweinfurt,[autoankauf bad kissingen],Keyword,5.50,Enabled,https://frankenautoankauf24.de/autoankauf/bad-kissingen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Schweinfurt,[autoankauf haßfurt],Keyword,5.00,Enabled,https://frankenautoankauf24.de/autoankauf/hassfurt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Regensburg,[autoankauf regensburg],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/regensburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Regensburg,"autoankauf regensburg",Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/regensburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Regensburg,[auto verkaufen regensburg],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/regensburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Regensburg,[gebrauchtwagen ankauf regensburg],Keyword,7.00,Enabled,https://frankenautoankauf24.de/autoankauf/regensburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Regensburg,[autoankauf neumarkt],Keyword,6.00,Enabled,https://frankenautoankauf24.de/autoankauf/neumarkt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Regensburg,[autoankauf amberg],Keyword,6.00,Enabled,https://frankenautoankauf24.de/autoankauf/amberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Ingolstadt,[autoankauf ingolstadt],Keyword,8.00,Enabled,https://frankenautoankauf24.de/autoankauf/ingolstadt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Ingolstadt,"autoankauf ingolstadt",Keyword,8.00,Enabled,https://frankenautoankauf24.de/autoankauf/ingolstadt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Ingolstadt,[auto verkaufen ingolstadt],Keyword,8.00,Enabled,https://frankenautoankauf24.de/autoankauf/ingolstadt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Ingolstadt,[gebrauchtwagen ankauf ingolstadt],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/ingolstadt
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Franken Allgemein,[autoankauf franken],Keyword,6.00,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Franken Allgemein,[auto verkaufen bayern],Keyword,6.00,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Franken Allgemein,[autoankauf mittelfranken],Keyword,5.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Franken Allgemein,[autoankauf oberfranken],Keyword,5.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Franken Allgemein,[autoankauf unterfranken],Keyword,5.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Franken Allgemein,[autoankauf oberpfalz],Keyword,5.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Sofort Verkaufen,[auto sofort verkaufen],Keyword,9.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen-sofort
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Sofort Verkaufen,"auto sofort verkaufen",Keyword,9.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen-sofort
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Sofort Verkaufen,[auto schnell verkaufen],Keyword,9.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen-sofort
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Sofort Verkaufen,[auto heute noch verkaufen],Keyword,10.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen-heute
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Sofort Verkaufen,[auto dringend verkaufen],Keyword,10.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen-sofort
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Sofort Verkaufen,[auto express verkaufen],Keyword,8.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen-sofort
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Sofort Verkaufen,[fahrzeug sofort loswerden],Keyword,8.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen-sofort
323-230-6543,DE | Search | Autoankauf | Franken | V4,Unfallwagen Ankauf,[unfallwagen verkaufen],Keyword,7.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen/unfallwagen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Unfallwagen Ankauf,"unfallwagen verkaufen",Keyword,7.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen/unfallwagen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Unfallwagen Ankauf,[unfallauto verkaufen],Keyword,7.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen/unfallwagen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Unfallwagen Ankauf,[unfallwagen ankauf],Keyword,7.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/unfallwagen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Unfallwagen Ankauf,[auto mit unfallschaden verkaufen],Keyword,6.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/unfallwagen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Unfallwagen Ankauf,[unfallfahrzeug ankauf],Keyword,6.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/unfallwagen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Motorschaden Ankauf,[auto mit motorschaden verkaufen],Keyword,7.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen/motorschaden
323-230-6543,DE | Search | Autoankauf | Franken | V4,Motorschaden Ankauf,"auto mit motorschaden verkaufen",Keyword,7.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen/motorschaden
323-230-6543,DE | Search | Autoankauf | Franken | V4,Motorschaden Ankauf,[motorschaden ankauf],Keyword,7.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/motorschaden
323-230-6543,DE | Search | Autoankauf | Franken | V4,Motorschaden Ankauf,[defektes auto verkaufen],Keyword,6.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/motorschaden
323-230-6543,DE | Search | Autoankauf | Franken | V4,Motorschaden Ankauf,[auto defekt verkaufen],Keyword,6.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/motorschaden
323-230-6543,DE | Search | Autoankauf | Franken | V4,Motorschaden Ankauf,[getriebeschaden auto verkaufen],Keyword,6.00,Enabled,https://frankenautoankauf24.de/auto-verkaufen/motorschaden
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Ohne TÜV,[auto ohne tüv verkaufen],Keyword,6.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/ohne-tuev
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Ohne TÜV,"auto ohne tüv verkaufen",Keyword,6.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/ohne-tuev
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Ohne TÜV,[auto ohne tüv ankauf],Keyword,6.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/ohne-tuev
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Ohne TÜV,[altes auto ohne tüv verkaufen],Keyword,5.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/ohne-tuev
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Ohne TÜV,[fahrzeug ohne tüv loswerden],Keyword,5.50,Enabled,https://frankenautoankauf24.de/auto-verkaufen/ohne-tuev
323-230-6543,DE | Search | Autoankauf | Franken | V4,Gebrauchtwagen Export,[gebrauchtwagen export],Keyword,6.00,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Gebrauchtwagen Export,[auto export verkaufen],Keyword,6.00,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Gebrauchtwagen Export,[fahrzeug export],Keyword,5.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Gebrauchtwagen Export,[auto ins ausland verkaufen],Keyword,5.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[bmw ankauf],Keyword,8.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[mercedes ankauf],Keyword,8.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[audi ankauf],Keyword,8.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[bmw verkaufen nürnberg],Keyword,9.00,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[mercedes verkaufen],Keyword,8.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[audi verkaufen],Keyword,8.50,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[vw ankauf],Keyword,7.00,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[opel verkaufen],Keyword,6.00,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[porsche ankauf],Keyword,10.00,Enabled,https://frankenautoankauf24.de
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,[porsche verkaufen],Keyword,10.00,Enabled,https://frankenautoankauf24.de
